datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2010-09-28,4098.0,99029.5,6.5,103127.5,-0.000600836325401,1.031275,0.00078
2010-09-29,4105.0,99029.5,6.5,103134.5,6.78771423723e-05,1.031345,0.00071
2010-09-30,4054.0,99029.5,6.5,103083.5,-0.000494499900615,1.030835,0.00122
2010-10-01,4036.0,99029.5,6.5,103065.5,-0.000174615724146,1.030655,0.0014
2010-10-04,3981.0,99029.5,6.5,103010.5,-0.000533641228151,1.030105,0.00195
2010-10-05,4128.0,99029.5,6.5,103157.5,0.00142703899117,1.031575,0.00048
2010-10-06,4131.0,99029.5,6.5,103160.5,2.90817439352e-05,1.031605,0.00045
2010-10-07,4132.0,99029.5,6.5,103161.5,9.6936327374e-06,1.031615,0.00044
2010-10-08,4201.0,99029.5,6.5,103230.5,0.00066885417525,1.032305,0.0
2010-10-11,4219.0,99029.5,6.5,103248.5,0.000174367071747,1.032485,0.0
2010-10-12,4265.0,99029.5,6.5,103294.5,0.000445527053662,1.032945,0.0
2010-10-13,4288.0,99029.5,6.5,103317.5,0.000222664323851,1.033175,0.0
2010-10-14,4319.0,99029.5,6.5,103348.5,0.000300045974786,1.033485,0.0
2010-10-15,4496.0,99029.5,6.5,103525.5,0.00171265185271,1.035255,0.0
2010-10-18,4543.0,99029.5,6.5,103572.5,0.000453994426494,1.035725,0.0
2010-10-19,4421.0,99029.5,6.5,103450.5,-0.00117791884912,1.034505,0.00122
2010-10-20,4436.0,99029.5,6.5,103465.5,0.000144996882567,1.034655,0.00107
2010-10-21,4422.0,99029.5,6.5,103451.5,-0.000135310804084,1.034515,0.00121
2010-10-22,4392.0,99029.5,6.5,103421.5,-0.000289990961948,1.034215,0.00151
2010-10-25,4412.0,99029.5,6.5,103441.5,0.0001933833874,1.034415,0.00131
2010-10-26,4401.0,99029.5,6.5,103430.5,-0.000106340298623,1.034305,0.00142
2010-10-27,4398.0,99029.5,6.5,103427.5,-2.90049840231e-05,1.034275,0.00145
2010-10-28,4361.0,99029.5,6.5,103390.5,-0.000357738512485,1.033905,0.00182
2010-10-29,4300.0,99029.5,6.5,103329.5,-0.000589996179533,1.033295,0.00243
2010-11-01,4345.0,99029.5,6.5,103374.5,0.000435500026614,1.033745,0.00198
2010-11-02,4419.0,99029.5,6.5,103448.5,0.000715843849305,1.034485,0.00124
2010-11-03,4469.0,99029.5,6.5,103498.5,0.000483332286113,1.034985,0.00074
2010-11-04,4547.0,99029.5,6.5,103576.5,0.000753634110639,1.035765,0.0
2010-11-05,4530.0,99029.5,6.5,103559.5,-0.000164129894329,1.035595,0.00017
2010-11-08,4552.0,99029.5,6.5,103581.5,0.000212438260131,1.035815,0.0
2010-11-09,4515.0,99029.5,6.5,103544.5,-0.000357206644044,1.035445,0.00037
2010-11-10,4543.0,99029.5,6.5,103572.5,0.000270415135522,1.035725,8.99999999999e-05
2010-11-11,4524.0,99029.5,6.5,103553.5,-0.000183446378141,1.035535,0.00028
2010-11-12,4400.0,99029.5,6.5,103429.5,-0.0011974486618,1.034295,0.00152
2010-11-15,4386.0,99029.5,6.5,103415.5,-0.000135357900792,1.034155,0.00166
2010-11-16,4308.0,99029.5,6.5,103337.5,-0.000754238968046,1.033375,0.00244
2010-11-17,4293.0,99029.5,6.5,103322.5,-0.000145155437281,1.033225,0.00259
